"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-27","0.00","0.0","0.0","71","78","64",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-28","0.00","0.0","0.0","72","78","65",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-29","0.00","0.0","0.0","78","90","65",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-30","0.00","0.0","0.0","80","90","70",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-31","0.00","0.0","0.0","83","94","71",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-08-01","0.00","0.0","0.0","84","92","76",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-08-02","1.21","0.0","0.0","79","84","73",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-08-03","0.00","0.0","0.0","75","84","66",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-08-04","0.00","0.0","0.0","76","87","64",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-08-05","0.00","0.0","0.0","76","89","63","    0"
